"State/UT/All-India","Sector","Fractile.class.of.MPCE","1","2","3","4","5","6","7","8","9","10+"
"Rajasthan","Rural","Avg. MPCE (Rs.)",16163.37,5595.73,5583.73,4724.31,4179.31,3805.47,3491.5,3391.64,3445.4,3417.54
"Rajasthan","Urban","Avg. MPCE (Rs.)",12650.63,8714.07,8165.77,6731.53,5529.96,4866.38,4321.11,4927.32,4421.42,4061.33
"Sikkim","Rural","Avg. MPCE (Rs.)",17851.78,11403.02,9066.37,7859.65,6907.23,6487.84,5759.95,5608,5186.8,3794.42
"Sikkim","Urban","Avg. MPCE (Rs.)",25622.87,15486.23,12875.36,10213.46,8564.74,7422.21,8115.99,7306.55,6793.05,5634.88
"Tamil Nadu","Rural","Avg. MPCE (Rs.)",7279.03,6181.52,6165.38,5436,4667.12,4215.17,4265.29,3993.17,4145.28,4400.01
"Tamil Nadu","Urban","Avg. MPCE (Rs.)",13764.1,9080.41,8595.11,7423.69,5900.36,5447.84,4919.82,5649.1,4680.96,5006.51
"Telangana","Rural","Avg. MPCE (Rs.)",5652.29,5824.53,5577.53,4973.81,4295.43,4111.79,3772.41,3695.45,4019.89,3390.02
"Telangana","Urban","Avg. MPCE (Rs.)",15153.82,10514.6,8581.25,7940.4,6355.02,5676.55,5236.64,6076.91,5440.47,5291.91
"Tripura","Rural","Avg. MPCE (Rs.)",8423.53,6803.8,6337.12,5412.64,4654.19,4341.66,3797.93,4153.42,4396.58,3894.53
"Tripura","Urban","Avg. MPCE (Rs.)",13643.62,9630.5,8382.37,7161.51,6204.55,5560.5,5644.63,5999.08,4926.29,5314.86
"Uttar Pradesh","Rural","Avg. MPCE (Rs.)",6235.51,4518.18,4059.41,3782.12,3266.25,3015.09,2765.41,2654.61,2704.63,2643.17
"Uttar Pradesh","Urban","Avg. MPCE (Rs.)",14770.88,8646.1,7202.97,5953.53,4818.83,4218.95,3959.14,3593.36,3462.6,3290.29
"Uttarakhand","Rural","Avg. MPCE (Rs.)",7131.46,6767.58,6064.91,5284.61,4392.04,4015.92,3886.18,3910.78,3702.32,3319.71
"Uttarakhand","Urban","Avg. MPCE (Rs.)",13588.4,10249.59,10156.07,7805.48,5641.44,5197.54,5397.63,5584.59,3862.94,3712.68
"West Bengal","Rural","Avg. MPCE (Rs.)",4600.48,3895.03,3705.35,3279.86,2988.89,2785.17,2703.97,2787.22,2600.16,2808.68
"West Bengal","Urban","Avg. MPCE (Rs.)",9512.73,7321.38,6322.25,5084.43,4452.98,4269.39,3976.47,3727.54,3200.79,3924.13
"Andaman & N. Island","Rural","Avg. MPCE (Rs.)",16722.37,10290.82,8280.94,7437.32,6626.22,6110.13,7033.63,5100.64,5367.33,4595.49
"Andaman & N. Island","Urban","Avg. MPCE (Rs.)",18137.67,13807.9,9958.21,10222.62,8668.32,8269.2,6737.09,4766.88,3901.91,6637.44
"Chandigarh","Rural","Avg. MPCE (Rs.)",18162.9,11813.71,9006.96,7228.46,6193.84,6034.61,4724.59,4637.03,5576.18,6832.83
"Chandigarh","Urban","Avg. MPCE (Rs.)",22583.27,19849.84,13901.13,11982.03,9913.82,7730.28,5660.32,9377.77,NA,10738.66
"Dadra & Nagar Haveli and Daman & Diu","Rural","Avg. MPCE (Rs.)",8462.05,6029.85,4793.54,4619.13,3442.36,3595.99,2952.66,2676.7,3271.7,2584.46
"Dadra & Nagar Haveli and Daman & Diu","Urban","Avg. MPCE (Rs.)",9438.49,7066.48,6349.7,5364.55,4792.42,4365.88,5702.28,4777.07,4682.86,3345.6
"Jammu & Kashmir","Rural","Avg. MPCE (Rs.)",7396.51,6017.1,5844.66,5051.78,4493.57,4014.42,3770.49,3198.49,3523.52,2919.26
"Jammu & Kashmir","Urban","Avg. MPCE (Rs.)",10228.06,8863.61,7415.55,6567.25,6010.6,5386.53,4661.01,5133.4,4310.82,4567.87
"Ladakh","Rural","Avg. MPCE (Rs.)",8143.44,6168.91,5604.45,5090.24,4717.45,3872.59,3288.7,3378.76,2956.58,3431.85
"Ladakh","Urban","Avg. MPCE (Rs.)",11842.78,9266.97,7108.36,7140.4,5675.94,4540.31,5175.62,4402.79,2504.39,7041.9
"Lakshadweep","Rural","Avg. MPCE (Rs.)",14397.77,8633.64,7761.19,6460.01,5795.48,5417.63,4461.68,5208.9,3665.18,3438.68
"Lakshadweep","Urban","Avg. MPCE (Rs.)",11952.48,8741.29,6668.01,6198.57,5102.83,4817.21,4808.46,4285.91,4000.76,4035.99
"Puducherry","Rural","Avg. MPCE (Rs.)",23880.1,8259.04,7666.49,6037.48,4991.44,5630.59,3609.94,4882.09,6197.94,3144.21
"Puducherry","Urban","Avg. MPCE (Rs.)",14711.87,9775.56,9004.83,7503.36,6078.51,6044.15,4604.85,4214.07,NA,NA
"All-India","Rural","Avg. MPCE (Rs.)",7395.17,5297.56,4768.51,4221.88,3625.59,3293,3006.68,2910.9,2931.6,2847.78
"All-India","Urban","Avg. MPCE (Rs.)",13627.59,9422.64,8056.84,6799,5590.37,4963.05,4333.37,4257.12,4110.96,3789.5
